atomic_number, symbol    , name          , atomic_radius, metallic_radius, csd_covalent_radius, vasppot_paw, vasppot_gw , elmt_color        , valence_elec         , num_valence_elec
57           , La        , Lanthanum     , 195          , 187            , 207                , None       , GW         , gray              , 5s2-5p6-5d1-6s2      , 11 
58           , Ce        , Cerium        , 185          , 181.8          , 204                , None       , GW         , gray              , 4f1-5s2-5p6-5d1-6s2  , 12 
59           , Pr        , Praseodymium  , 185          , 182.4          , 203                , None       , GW         , gray              , 4f2-5s2-5p6-5d1-6s2  , 13 
60           , Nd        , Neodymium     , 185          , 181.4          , 201                , None       , GW         , gray              , 4f4-5s2-5p6-6s2      , 14 
61           , Pm        , Promethium    , 185          , 183.4          , 199                , None       , GW         , gray              , 4f5-5s2-5p6-6s2      , 15 
62           , Sm        , Samarium      , 185          , 180.4          , 198                , None       , GW         , gray              , 4f6-5s2-5p6-6s2      , 16 
63           , Eu        , Europium      , 185          , 208.4          , 198                , None       , GW         , gray              , 4f7-5s2-5p6-6s2      , 17 
64           , Gd        , Gadolinium    , 180          , 180.4          , 196                , None       , GW         , gray              , 4f7-5s2-5p6-5d1-6s2  , 18 
65           , Tb        , Terbium       , 175          , 177.3          , 194                , None       , GW         , gray              , 4f9-5s2-5p6-6s2      , 19 
66           , Dy        , Dysprosium    , 175          , 178.1          , 192                , None       , GW         , gray              , 4f10-5s2-5p6-6s2     , 20 
67           , Ho        , Holmium       , 175          , 176.2          , 192                , None       , GW         , gray              , 4f11-5s2-5p6-6s2     , 21 
68           , Er        , Erbium        , 175          , 176.1          , 189                , None       , GW         , gray              , 4f12-5s2-5p6-6s2     , 22 
69           , Tm        , Thulium       , 175          , 175.9          , 190                , None       , GW         , gray              , 4f13-5s2-5p6-6s2     , 23 
70           , Yb        , Ytterbium     , 175          , 193.3          , 187                , None       , GW         , gray              , 4f14-5s2-5p6-6s2     , 24 
71           , Lu        , Lutetium      , 175          , 173.8          , 187                , None       , GW         , gray              , 4f14-5s2-5p6-5d1-6s2 , 25 
72           , Hf        , Hafnium       , 155          , 159            , 175                , pv         , sv_GW      , yellow            , 5p6-6s2-5d2          , 10 
73           , Ta        , Tantalum      , 145          , 146            , 170                , pv         , sv_GW      , magenta           , 5p6-6s2-5d3          , 11 
74           , W         , Tungsten      , 135          , 139            , 162                , pv         , sv_GW      , blue              , 5p6-6s2-5d4          , 12 
75           , Re        , Rhenium       , 135          , 137            , 151                , None       , sv_GW      , red               , 5d5-6s2              , 7  
76           , Os        , Osmium        , 130          , 135            , 144                , None       , sv_GW      , brown             , 5d6-6s2              , 8  
77           , Ir        , Iridium       , 135          , 135            , 141                , None       , sv_GW      , plum              , 5d7-6s2              , 9
78           , Pt        , Platinum      , 135          , 138.5          , 136                , None       , sv_GW      , aqua              , 5d9-6s1              , 10 
79           , Au        , Gold          , 135          , 144            , 136                , None       , sv_GW      , gold              , 5d10-6s1             , 11 
80           , Hg        , Mercury       , 150          , 151            , 132                , None       , sv_GW      , mediumblue        , 5d10-6s2             , 12 
81           , Tl        , Thallium      , 190          , 170            , 145                , d          , d_GW       , gray              , 5d10-6s2-6p1         , 13 
82           , Pb        , Lead          , 180          , None           , 146                , d          , d_GW       , gray              , 5d10-6s2-6p2         , 14 
83           , Bi        , Bismuth       , 160          , None           , 148                , d          , d_GW       , gray              , 5d10-6s2-6p3         , 15 
84           , Po        , Polonium      , 190          , None           , 140                , d          , d_GW       , gray              , 5d10-6s2-6p4         , 16 
85           , At        , Astatine      , None         , None           , 150                , d          , d_GW       , gray              , 5d10-6s2-6p5         , 17 
86           , Rn        , Radon         , 134          , None           , 150                , None       , d_GW       , gray              , 6s2-6p6              , 8  
87           , Fr        , Francium      , 260          , None           , 260                , sv         , GW         , gray              , 6s2-6p6-7s1          , 9  
88           , Ra        , Radium        , 215          , None           , 221                , sv         , GW         , gray              , 6s2-6p6-7s2          , 10 
89           , Ac        , Actinium      , 195          , None           , 215                , None       , GW         , gray              , 6s2-6p6-6d1-7s2      , 11 
90           , Th        , Thorium       , 180          , 179            , 206                , None       , GW         , gray              , 6s2-6p6-6d2-7s2      , 12 
91           , Pa        , Protactinium  , 180          , 263            , 200                , None       , GW         , gray              , 5f2-6s2-6p6-6d1-7s2  , 13 
92           , U         , Uranium       , 175          , 165            , 196                , None       , GW         , gray              , 5f3-6s2-6p6-6d1-7s2  , 14 
93           , Np        , Neptunium     , 175          , 155            , 190                , None       , GW         , gray              , 5f4-6s2-6p6-6d1-7s2  , 15 
94           , Pu        , Plutonium     , 175          , 159            , 187                , None       , GW         , gray              , 5f6-6s2-6p6-7s2      , 16 
95           , Am        , Americium     , 175          , 173            , 180                , None       , GW         , gray              , 5f7-6s2-6p6-7s2      , 17 
96           , Cm        , Curium        , 135          , 174            , 169                , None       , GW         , gray              , 5f7-6s2-6p6-6d1-7s2  , 18 
97           , Bk        , Berkelium     , None         , 170            , None               , None       , GW         , gray              , 5f9-6s2-6p6-7s2      , 19 
98           , Cf        , Californium   , None         , 186            , None               , None       , GW         , gray              , 5f10-6s2-6p6-7s2     , 20 
99           , Es        , Einsteinium   , None         , 186            , None               , None       , GW         , gray              , 5f11-6s2-6p6-7s2     , 21 
100          , Fm        , Fermium       , None         , None           , None               , None       , GW         , gray              , 5f12-6s2-6p6-7s2     , 22 
101          , Md        , Mendelevium   , None         , None           , None               , None       , GW         , gray              , 5f13-6s2-6p6-7s2     , 23 
102          , No        , Nobelium      , None         , None           , None               , None       , GW         , gray              , 5f14-6s2-6p6-7s2     , 24 
103          , Lr        , Lawrencium    , None         , None           , None               , None       , GW         , gray              , 5f14-6s2-6p6-6d1-7s2 , 25 
104          , Rf        , Rutherfordium , None         , None           , None               , None       , GW         , gray              , 6p6-6d2-7s2          , 10 
105          , Db        , Dubnium       , None         , None           , None               , None       , GW         , gray              , 6p6-6d3-7s2          , 11 
106          , Sg        , Seaborgium    , None         , None           , None               , None       , GW         , gray              , 6p6-6d4-7s2          , 12
107          , Bh        , Bohrium       , None         , None           , None               , None       , GW         , gray              , 6p6-6d5-7s2          , 13
